nodeId;treeSize;treeEntrySizeSingle;treeEntrySizeAll
8;8;10;178
22;8;10;258
23;8;10;278
18;8;10;258
3;8;10;268
19;8;10;218
27;8;10;218
26;8;10;278
6;8;10;238
31;8;10;278
15;8;10;238
25;8;10;228
28;8;10;278
7;8;10;168
4;8;10;178
20;8;10;228
33;8;10;208
13;8;10;228
16;8;10;238
1;8;10;138
10;8;10;278
24;8;10;228
14;8;10;198
11;8;10;188
2;8;10;178
17;8;10;198
32;8;10;258
31;8;10;278
16;8;10;248
13;8;10;208
10;8;10;278
3;8;10;278
7;8;10;158
23;8;10;278
20;8;10;228
26;8;10;278
4;8;10;188
1;8;10;178
25;8;10;228
18;8;10;198
28;8;10;258
19;8;10;208
2;8;10;178
33;8;10;218
15;8;10;238
27;8;10;198
24;8;10;208
22;8;10;258
6;8;10;248
14;8;10;188
8;8;10;178
17;8;10;208
11;8;10;188
32;8;10;248
23;8;10;278
3;8;10;268
13;8;10;228
31;8;10;278
26;8;10;278
20;8;10;238
7;8;10;148
4;8;10;188
24;8;10;218
18;8;10;258
28;8;10;258
10;8;10;278
19;8;10;208
15;8;10;228
8;8;10;168
33;8;10;208
22;8;10;258
2;8;10;168
25;8;10;228
27;8;10;198
6;8;10;248
1;8;10;168
17;8;10;208
11;8;10;178
16;8;10;238
14;8;10;198
32;8;10;238
18;8;10;258
7;8;10;148
27;8;10;198
33;8;10;208
14;8;10;188
26;8;10;278
4;8;10;188
28;8;10;258
31;8;10;278
23;8;10;278
8;8;10;178
1;8;10;178
2;8;10;178
25;8;10;228
19;8;10;208
32;8;10;248
24;8;10;218
15;8;10;238
10;8;10;278
3;8;10;278
13;8;10;208
20;8;10;228
11;8;10;178
16;8;10;238
17;8;10;208
22;8;10;258
6;8;10;228
13;8;10;208
18;8;10;248
33;8;10;198
20;8;10;218
27;8;10;198
15;8;10;218
8;8;10;168
6;8;10;208
31;8;10;278
23;8;10;278
10;8;10;248
26;8;10;218
2;8;10;168
1;8;10;158
19;8;10;208
7;8;10;138
24;8;10;208
28;8;10;268
3;8;10;238
4;8;10;168
25;8;10;218
16;8;10;218
14;8;10;168
32;8;10;218
22;8;10;248
11;8;10;158
17;8;10;198
7;8;10;138
28;8;10;248
31;8;10;278
16;8;10;228
19;8;10;208
24;8;10;198
14;8;10;198
23;8;10;278
27;8;10;178
26;8;10;278
6;8;10;248
33;8;10;208
1;8;10;168
2;8;10;168
10;8;10;278
13;8;10;208
22;8;10;238
3;8;10;268
18;8;10;248
15;8;10;218
8;8;10;168
4;8;10;178
20;8;10;218
11;8;10;158
17;8;10;208
25;8;10;238
32;8;10;248
24;8;10;188
7;8;10;128
19;8;10;208
31;8;10;278
10;8;10;278
14;8;10;188
16;8;10;248
22;8;10;248
20;8;10;218
3;8;10;278
33;8;10;208
2;8;10;188
15;8;10;238
23;8;10;278
18;8;10;248
26;8;10;278
1;8;10;188
13;8;10;228
32;8;10;248
28;8;10;248
25;8;10;238
27;8;10;178
6;8;10;248
8;8;10;188
4;8;10;188
11;8;10;148
17;8;10;208
4;8;10;198
8;8;10;198
18;8;10;248
14;8;10;178
22;8;10;248
1;8;10;198
16;8;10;248
15;8;10;228
25;8;10;218
31;8;10;278
13;8;10;208
23;8;10;278
2;8;10;198
7;8;10;138
19;8;10;208
3;8;10;278
33;8;10;208
26;8;10;278
6;8;10;238
10;8;10;278
24;8;10;208
28;8;10;248
20;8;10;278
11;8;10;158
27;8;10;188
32;8;10;218
17;8;10;208
1;8;10;188
10;8;10;278
28;8;10;258
14;8;10;188
7;8;10;158
33;8;10;208
6;8;10;238
31;8;10;278
20;8;10;228
26;8;10;268
13;8;10;218
16;8;10;258
3;8;10;278
24;8;10;208
15;8;10;238
19;8;10;218
17;8;10;208
18;8;10;248
11;8;10;168
23;8;10;268
25;8;10;218
2;8;10;188
22;8;10;248
32;8;10;248
8;8;10;188
4;8;10;188
27;8;10;198
27;8;10;178
1;8;10;188
8;8;10;188
24;8;10;198
19;8;10;208
18;8;10;248
15;8;10;238
22;8;10;248
31;8;10;278
3;8;10;278
25;8;10;228
11;8;10;168
14;8;10;178
16;8;10;248
13;8;10;208
6;8;10;248
26;8;10;278
2;8;10;188
7;8;10;138
20;8;10;208
17;8;10;208
23;8;10;278
10;8;10;278
28;8;10;248
33;8;10;208
4;8;10;188
32;8;10;258
10;8;10;268
14;8;10;178
24;8;10;228
25;8;10;218
15;8;10;228
13;8;10;228
2;8;10;188
19;8;10;208
18;8;10;248
31;8;10;278
16;8;10;248
6;8;10;248
7;8;10;148
8;8;10;188
33;8;10;208
3;8;10;278
26;8;10;278
17;8;10;208
4;8;10;188
20;8;10;218
27;8;10;198
28;8;10;258
32;8;10;248
1;8;10;188
23;8;10;278
11;8;10;178
22;8;10;258
16;8;10;258
23;8;10;268
2;8;10;188
22;8;10;258
13;8;10;208
10;8;10;278
6;8;10;248
33;8;10;208
14;8;10;178
1;8;10;188
4;8;10;188
7;8;10;138
19;8;10;208
24;8;10;208
3;8;10;278
20;8;10;218
26;8;10;278
31;8;10;278
27;8;10;188
28;8;10;258
8;8;10;188
25;8;10;238
11;8;10;168
18;8;10;258
15;8;10;228
32;8;10;258
17;8;10;208
22;8;10;248
18;8;10;248
20;8;10;218
33;8;10;208
3;8;10;238
15;8;10;178
7;8;10;148
31;8;10;258
6;8;10;248
19;8;10;198
8;8;10;178
27;8;10;188
25;8;10;218
10;8;10;248
13;8;10;198
24;8;10;168
17;8;10;168
4;8;10;178
14;8;10;158
11;8;10;188
16;8;10;248
26;8;10;228
2;8;10;138
1;8;10;158
23;8;10;268
32;8;10;238
7;8;10;148
23;8;10;268
6;8;10;248
13;8;10;208
27;8;10;188
10;8;10;268
18;8;10;238
31;8;10;268
14;8;10;208
3;8;10;248
8;8;10;178
33;8;10;198
4;8;10;168
22;8;10;248
16;8;10;248
24;8;10;188
25;8;10;238
20;8;10;268
2;8;10;168
15;8;10;198
19;8;10;208
26;8;10;248
1;8;10;168
17;8;10;188
32;8;10;238
11;8;10;158
