InteractionType;RuleLeft;RuleRight;NumPairs;DurationMillis
C;removeLink;modifyLinkWeight;1;313
C;removeLink;activateLink;1;938
C;removeLink;inactivateLink;2;846
C;removeLink;handleLinkRemoval1;5;890
C;removeLink;handleLinkRemoval2;2;719
C;addLink;removeLink;0;78
C;addLink;addLink;5;770
C;addLink;addNode;0;96
C;addLink;removeNode;2;1753
C;addLink;modifyLinkWeight;0;110
C;addLink;activateLink;0;6614
C;addLink;inactivateLink;0;141
C;addLink;handleLinkRemoval1;0;7050
C;addLink;handleLinkRemoval2;0;6869
C;addNode;removeLink;0;149
C;addNode;addLink;0;112
C;addNode;addNode;0;192
C;addNode;removeNode;0;75
C;addNode;modifyLinkWeight;0;94
C;addNode;activateLink;0;181
C;addNode;inactivateLink;0;76
C;addNode;handleLinkRemoval1;0;249
C;addNode;handleLinkRemoval2;0;233
C;removeNode;removeLink;0;140
C;removeNode;addLink;2;197
C;removeNode;addNode;0;112
C;removeNode;removeNode;0;187
C;removeNode;modifyLinkWeight;0;162
C;removeNode;activateLink;0;136
C;removeNode;inactivateLink;0;189
C;removeNode;handleLinkRemoval1;0;153
C;removeNode;handleLinkRemoval2;0;208
C;modifyLinkWeight;removeLink;0;2155
C;modifyLinkWeight;addLink;0;68
C;modifyLinkWeight;addNode;0;72
C;modifyLinkWeight;removeNode;0;58
C;modifyLinkWeight;modifyLinkWeight;0;2120
C;modifyLinkWeight;activateLink;1;3925
C;modifyLinkWeight;inactivateLink;3;2100
C;modifyLinkWeight;handleLinkRemoval1;3;4034
C;modifyLinkWeight;handleLinkRemoval2;0;4007
C;activateLink;removeLink;0;10173
C;activateLink;addLink;0;125
C;activateLink;addNode;0;78
C;activateLink;removeNode;0;62
C;activateLink;modifyLinkWeight;1;2994
C;activateLink;activateLink;0;22648
C;activateLink;inactivateLink;1;11787
C;activateLink;handleLinkRemoval1;0;22789
C;activateLink;handleLinkRemoval2;0;23056
C;inactivateLink;removeLink;0;2901880
C;inactivateLink;addLink;0;3613
C;inactivateLink;addNode;0;799
C;inactivateLink;removeNode;0;499
C;inactivateLink;modifyLinkWeight;1;27056
C;inactivateLink;activateLink;1;42096928
C;inactivateLink;inactivateLink;4;67349112
C;inactivateLink;handleLinkRemoval1;4;229450442
C;inactivateLink;handleLinkRemoval2;4;112321134
C;handleLinkRemoval1;removeLink;0;3604409
C;handleLinkRemoval1;addLink;0;5289
C;handleLinkRemoval1;addNode;0;2014
C;handleLinkRemoval1;removeNode;0;1943
C;handleLinkRemoval1;modifyLinkWeight;0;109518
C;handleLinkRemoval1;activateLink;11;78926369
C;handleLinkRemoval1;inactivateLink;0;101613091
C;handleLinkRemoval1;handleLinkRemoval1;7;288244619
C;handleLinkRemoval1;handleLinkRemoval2;10;379898814
C;handleLinkRemoval2;removeLink;0;6603179
C;handleLinkRemoval2;addLink;0;9393
C;handleLinkRemoval2;addNode;0;6549
C;handleLinkRemoval2;removeNode;0;6462
C;handleLinkRemoval2;modifyLinkWeight;0;409015
C;handleLinkRemoval2;activateLink;11;215446427
C;removeLink;removeLink;0;1505
C;removeLink;addLink;0;108
C;removeLink;addNode;0;69
C;removeLink;removeNode;0;52
C;removeLink;modifyLinkWeight;1;440
C;removeLink;activateLink;1;953
C;removeLink;inactivateLink;2;887
C;removeLink;handleLinkRemoval1;3;910
C;removeLink;handleLinkRemoval2;3;839
C;addLink;removeLink;0;69
C;addLink;addLink;5;922
C;addLink;addNode;0;116
C;addLink;removeNode;2;1927
C;addLink;modifyLinkWeight;0;108
C;handleLinkRemoval2;inactivateLink;0;31964928
C;handleLinkRemoval2;handleLinkRemoval1;10;104641837
C;handleLinkRemoval2;handleLinkRemoval2;7;124542252
D;removeLink;removeLink;0;12267
D;removeLink;addLink;7;3826
D;removeLink;addNode;0;3449
D;removeLink;removeNode;0;2170
D;removeLink;modifyLinkWeight;0;3306
D;removeLink;activateLink;0;2517
D;removeLink;inactivateLink;0;977
D;removeLink;handleLinkRemoval1;0;2499
D;removeLink;handleLinkRemoval2;0;2567
D;addLink;removeLink;1;5225
D;addLink;addLink;0;1020
D;addLink;addNode;0;1001
D;addLink;removeNode;0;2689
D;addLink;modifyLinkWeight;1;2230
D;addLink;activateLink;1;4479
D;addLink;inactivateLink;3;4199
D;addLink;handleLinkRemoval1;2;3835
D;addLink;handleLinkRemoval2;3;4008
D;addNode;removeLink;0;2769
D;addNode;addLink;2;1974
D;addNode;addNode;0;2158
D;addNode;removeNode;1;1937
D;addNode;modifyLinkWeight;0;2769
D;addNode;activateLink;0;1908
D;addNode;inactivateLink;0;1898
D;addNode;handleLinkRemoval1;0;1908
D;addNode;handleLinkRemoval2;0;1913
D;removeNode;removeLink;0;891
D;removeNode;addLink;0;939
D;removeNode;addNode;1;1961
D;removeNode;removeNode;0;2252
D;removeNode;modifyLinkWeight;0;924
D;removeNode;activateLink;0;958
D;removeNode;inactivateLink;0;921
D;removeNode;handleLinkRemoval1;0;968
D;removeNode;handleLinkRemoval2;0;925
D;modifyLinkWeight;removeLink;0;26332
D;modifyLinkWeight;addLink;0;998
D;modifyLinkWeight;addNode;0;954
D;modifyLinkWeight;removeNode;0;1029
D;modifyLinkWeight;modifyLinkWeight;1;25765
D;modifyLinkWeight;activateLink;1;50395
D;modifyLinkWeight;inactivateLink;2;26067
D;modifyLinkWeight;handleLinkRemoval1;3;50119
D;modifyLinkWeight;handleLinkRemoval2;0;50911
D;activateLink;removeLink;0;124162
D;activateLink;addLink;0;970
D;activateLink;addNode;0;948
D;activateLink;removeNode;0;972
D;activateLink;modifyLinkWeight;0;34679
D;activateLink;activateLink;0;243072
D;activateLink;inactivateLink;0;123118
D;activateLink;handleLinkRemoval1;0;244140
D;activateLink;handleLinkRemoval2;0;244312
D;inactivateLink;removeLink;0;3641865
D;inactivateLink;addLink;0;4274
D;inactivateLink;addNode;0;1731
D;inactivateLink;removeNode;0;1075
D;inactivateLink;modifyLinkWeight;0;91324
