nodeCount;linkCount;worldSizeInMeters;isConnected;seed;avgOutdegree;avgIndegree;avgDegree;avgPairwiseHops;maxPairwiseHops;avgHopCountToBasestation;medianHopCountToBasestation;hopCountToBasestationMax;transmissionRangeInMeters
101.0;600.0;900.0;1.0;4.0;5.9405940594059405;5.9405940594059405;11.881188118811881;10.8990099009901;14.0;3.831683168316831;4.0;8.0;130.92145654980484
101.0;620.0;900.0;1.0;11.0;6.138613861386139;6.138613861386139;12.277227722772277;11.845544554455445;12.0;4.1683168316831685;4.0;7.0;130.92145654980484
101.0;610.0;900.0;1.0;12.0;6.03960396039604;6.03960396039604;12.07920792079208;12.28079207920792;14.0;4.841584158415841;5.0;9.0;130.92145654980484
101.0;576.0;900.0;1.0;13.0;5.702970297029703;5.702970297029703;11.405940594059405;10.968316831683168;15.0;3.9702970297029707;4.0;8.0;130.92145654980484
101.0;544.0;900.0;1.0;16.0;5.3861386138613865;5.3861386138613865;10.772277227722773;15.086732673267326;20.0;5.405940594059406;5.0;13.0;130.92145654980484
101.0;564.0;900.0;1.0;19.0;5.584158415841584;5.584158415841584;11.168316831683168;11.618217821782178;13.0;4.287128712871287;5.0;7.0;130.92145654980484
101.0;574.0;900.0;0.0;22.0;5.683168316831683;5.683168316831683;11.366336633663366;Infinity;Infinity;3.8316831683168315;4.0;7.0;130.92145654980484
101.0;612.0;900.0;1.0;27.0;6.0594059405940595;6.0594059405940595;12.118811881188119;15.976633663366338;21.0;8.346534653465346;7.0;19.0;130.92145654980484
101.0;566.0;900.0;0.0;35.0;5.603960396039604;5.603960396039604;11.207920792079207;Infinity;Infinity;3.8415841584158414;4.0;10.0;130.92145654980484
101.0;568.0;900.0;0.0;38.0;5.623762376237623;5.623762376237623;11.247524752475247;Infinity;Infinity;3.7128712871287126;4.0;8.0;130.92145654980484
101.0;600.0;900.0;1.0;4.0;5.9405940594059405;5.9405940594059405;11.881188118811881;10.8990099009901;14.0;3.831683168316831;4.0;8.0;130.92145654980484
101.0;620.0;900.0;1.0;11.0;6.138613861386139;6.138613861386139;12.277227722772277;11.845544554455445;12.0;4.1683168316831685;4.0;7.0;130.92145654980484
101.0;610.0;900.0;1.0;12.0;6.03960396039604;6.03960396039604;12.07920792079208;12.28079207920792;14.0;4.841584158415841;5.0;9.0;130.92145654980484
101.0;576.0;900.0;1.0;13.0;5.702970297029703;5.702970297029703;11.405940594059405;10.968316831683168;15.0;3.9702970297029707;4.0;8.0;130.92145654980484
101.0;544.0;900.0;1.0;16.0;5.3861386138613865;5.3861386138613865;10.772277227722773;15.086732673267326;20.0;5.405940594059406;5.0;13.0;130.92145654980484
101.0;564.0;900.0;1.0;19.0;5.584158415841584;5.584158415841584;11.168316831683168;11.618217821782178;13.0;4.287128712871287;5.0;7.0;130.92145654980484
101.0;574.0;900.0;0.0;22.0;5.683168316831683;5.683168316831683;11.366336633663366;Infinity;Infinity;3.8316831683168315;4.0;7.0;130.92145654980484
101.0;612.0;900.0;1.0;27.0;6.0594059405940595;6.0594059405940595;12.118811881188119;15.976633663366338;21.0;8.346534653465346;7.0;19.0;130.92145654980484
101.0;566.0;900.0;0.0;35.0;5.603960396039604;5.603960396039604;11.207920792079207;Infinity;Infinity;3.8415841584158414;4.0;10.0;130.92145654980484
101.0;568.0;900.0;0.0;38.0;5.623762376237623;5.623762376237623;11.247524752475247;Infinity;Infinity;3.7128712871287126;4.0;8.0;130.92145654980484
101.0;600.0;900.0;1.0;4.0;5.9405940594059405;5.9405940594059405;11.881188118811881;10.8990099009901;14.0;3.8316831683168315;4.0;8.0;130.92145654980484
101.0;620.0;900.0;1.0;11.0;6.138613861386139;6.138613861386139;12.277227722772277;11.845544554455445;12.0;4.1683168316831685;4.0;7.0;130.92145654980484
101.0;610.0;900.0;1.0;12.0;6.03960396039604;6.03960396039604;12.07920792079208;12.28079207920792;14.0;4.841584158415841;5.0;9.0;130.92145654980484
101.0;576.0;900.0;1.0;13.0;5.702970297029703;5.702970297029703;11.405940594059405;10.968316831683168;15.0;3.9702970297029707;4.0;8.0;130.92145654980484
101.0;544.0;900.0;1.0;16.0;5.3861386138613865;5.3861386138613865;10.772277227722773;15.086732673267326;20.0;5.405940594059406;5.0;13.0;130.92145654980484
101.0;564.0;900.0;1.0;19.0;5.584158415841584;5.584158415841584;11.168316831683168;11.618217821782178;13.0;4.287128712871287;5.0;7.0;130.92145654980484
101.0;574.0;900.0;0.0;22.0;5.683168316831683;5.683168316831683;11.366336633663366;Infinity;Infinity;3.8316831683168315;4.0;7.0;130.92145654980484
101.0;612.0;900.0;1.0;27.0;6.0594059405940595;6.0594059405940595;12.118811881188119;15.976633663366338;21.0;8.346534653465346;7.0;19.0;130.92145654980484
101.0;566.0;900.0;0.0;35.0;5.603960396039604;5.603960396039604;11.207920792079207;Infinity;Infinity;3.8415841584158414;4.0;10.0;130.92145654980484
101.0;568.0;900.0;0.0;38.0;5.623762376237623;5.623762376237623;11.247524752475247;Infinity;Infinity;3.7128712871287126;4.0;8.0;130.92145654980484
101.0;600.0;900.0;1.0;4.0;5.9405940594059405;5.9405940594059405;11.881188118811881;10.8990099009901;14.0;3.8316831683168315;4.0;8.0;130.92145654980484
101.0;620.0;900.0;1.0;11.0;6.138613861386139;6.138613861386139;12.277227722772277;11.845544554455445;12.0;4.1683168316831685;4.0;7.0;130.92145654980484
101.0;610.0;900.0;1.0;12.0;6.03960396039604;6.03960396039604;12.07920792079208;12.28079207920792;14.0;4.841584158415841;5.0;9.0;130.92145654980484
101.0;576.0;900.0;1.0;13.0;5.702970297029703;5.702970297029703;11.405940594059405;10.968316831683168;15.0;3.9702970297029707;4.0;8.0;130.92145654980484
101.0;544.0;900.0;1.0;16.0;5.3861386138613865;5.3861386138613865;10.772277227722773;15.086732673267326;20.0;5.405940594059406;5.0;13.0;130.92145654980484
101.0;564.0;900.0;1.0;19.0;5.584158415841584;5.584158415841584;11.168316831683168;11.618217821782178;13.0;4.287128712871287;5.0;7.0;130.92145654980484
101.0;574.0;900.0;0.0;22.0;5.683168316831683;5.683168316831683;11.366336633663366;Infinity;Infinity;3.8316831683168315;4.0;7.0;130.92145654980484
101.0;612.0;900.0;1.0;27.0;6.0594059405940595;6.0594059405940595;12.118811881188119;15.976633663366338;21.0;8.346534653465346;7.0;19.0;130.92145654980484
101.0;566.0;900.0;0.0;35.0;5.603960396039604;5.603960396039604;11.207920792079207;Infinity;Infinity;3.8415841584158414;4.0;10.0;130.92145654980484
101.0;568.0;900.0;0.0;38.0;5.623762376237623;5.623762376237623;11.247524752475247;Infinity;Infinity;3.7128712871287126;4.0;8.0;130.92145654980484
101.0;1162.0;600.0;1.0;1.0;11.504950495049505;11.504950495049505;23.00990099009901;7.28990099009901;8.0;2.722772277227723;3.0;4.0;130.92145654980484
101.0;1214.0;600.0;1.0;2.0;12.01980198019802;12.01980198019802;24.03960396039604;6.6368316831683165;8.0;2.5544554455445545;3.0;4.0;130.92145654980484
101.0;1156.0;600.0;1.0;3.0;11.445544554455445;11.445544554455445;22.89108910891089;6.641188118811881;7.0;2.376237623762376;2.0;4.0;130.92145654980484
101.0;1192.0;600.0;1.0;4.0;11.801980198019802;11.801980198019802;23.603960396039604;6.936633663366337;9.0;2.5643564356435644;3.0;5.0;130.92145654980484
101.0;1302.0;600.0;1.0;5.0;12.891089108910892;12.891089108910892;25.782178217821784;6.329108910891089;7.0;2.3366336633663365;2.0;4.0;130.92145654980484
101.0;1238.0;600.0;1.0;6.0;12.257425742574258;12.257425742574258;24.514851485148515;6.4891089108910895;7.0;2.386138613861386;2.0;4.0;130.92145654980484
101.0;1216.0;600.0;1.0;7.0;12.03960396039604;12.03960396039604;24.07920792079208;6.685940594059406;8.0;2.504950495049505;3.0;4.0;130.92145654980484
101.0;1220.0;600.0;1.0;8.0;12.07920792079208;12.07920792079208;24.15841584158416;6.817029702970297;8.0;2.485148514851485;2.0;4.0;130.92145654980484
101.0;1276.0;600.0;1.0;9.0;12.633663366336634;12.633663366336634;25.26732673267327;6.4950495049504955;8.0;2.514851485148515;3.0;5.0;130.92145654980484
101.0;1248.0;600.0;1.0;10.0;12.356435643564357;12.356435643564357;24.712871287128714;6.587326732673267;7.0;2.514851485148515;3.0;4.0;130.92145654980484
101.0;1162.0;600.0;1.0;1.0;11.504950495049505;11.504950495049505;23.00990099009901;7.28990099009901;8.0;2.722772277227723;3.0;4.0;130.92145654980484
101.0;1214.0;600.0;1.0;2.0;12.01980198019802;12.01980198019802;24.03960396039604;6.6368316831683165;8.0;2.5544554455445545;3.0;4.0;130.92145654980484
101.0;1156.0;600.0;1.0;3.0;11.445544554455445;11.445544554455445;22.89108910891089;6.641188118811881;7.0;2.376237623762376;2.0;4.0;130.92145654980484
101.0;1192.0;600.0;1.0;4.0;11.801980198019802;11.801980198019802;23.603960396039604;6.936633663366337;9.0;2.5643564356435644;3.0;5.0;130.92145654980484
101.0;1302.0;600.0;1.0;5.0;12.891089108910892;12.891089108910892;25.782178217821784;6.329108910891089;7.0;2.3366336633663365;2.0;4.0;130.92145654980484
101.0;1238.0;600.0;1.0;6.0;12.257425742574258;12.257425742574258;24.514851485148515;6.4891089108910895;7.0;2.386138613861386;2.0;4.0;130.92145654980484
101.0;1216.0;600.0;1.0;7.0;12.03960396039604;12.03960396039604;24.07920792079208;6.685940594059406;8.0;2.504950495049505;3.0;4.0;130.92145654980484
101.0;1220.0;600.0;1.0;8.0;12.07920792079208;12.07920792079208;24.15841584158416;6.817029702970297;8.0;2.485148514851485;2.0;4.0;130.92145654980484
101.0;1276.0;600.0;1.0;9.0;12.633663366336634;12.633663366336634;25.26732673267327;6.4950495049504955;8.0;2.514851485148515;3.0;5.0;130.92145654980484
101.0;1248.0;600.0;1.0;10.0;12.356435643564357;12.356435643564357;24.712871287128714;6.587326732673267;7.0;2.514851485148515;3.0;4.0;130.92145654980484
101.0;1162.0;600.0;1.0;1.0;11.504950495049505;11.504950495049505;23.00990099009901;7.28990099009901;8.0;2.722772277227723;3.0;4.0;130.92145654980484
101.0;1214.0;600.0;1.0;2.0;12.01980198019802;12.01980198019802;24.03960396039604;6.6368316831683165;8.0;2.5544554455445545;3.0;4.0;130.92145654980484
101.0;1156.0;600.0;1.0;3.0;11.445544554455445;11.445544554455445;22.89108910891089;6.641188118811881;7.0;2.376237623762376;2.0;4.0;130.92145654980484
101.0;1192.0;600.0;1.0;4.0;11.801980198019802;11.801980198019802;23.603960396039604;6.936633663366337;9.0;2.564356435643565;3.0;5.0;130.92145654980484
101.0;1302.0;600.0;1.0;5.0;12.891089108910892;12.891089108910892;25.782178217821784;6.329108910891089;7.0;2.3366336633663365;2.0;4.0;130.92145654980484
101.0;1238.0;600.0;1.0;6.0;12.257425742574258;12.257425742574258;24.514851485148515;6.4891089108910895;7.0;2.386138613861386;2.0;4.0;130.92145654980484
101.0;1216.0;600.0;1.0;7.0;12.03960396039604;12.03960396039604;24.07920792079208;6.685940594059406;8.0;2.504950495049505;3.0;4.0;130.92145654980484
101.0;1220.0;600.0;1.0;8.0;12.07920792079208;12.07920792079208;24.15841584158416;6.817029702970297;8.0;2.485148514851485;2.0;4.0;130.92145654980484
101.0;1276.0;600.0;1.0;9.0;12.633663366336634;12.633663366336634;25.26732673267327;6.4950495049504955;8.0;2.514851485148515;3.0;5.0;130.92145654980484
101.0;1248.0;600.0;1.0;10.0;12.356435643564357;12.356435643564357;24.712871287128714;6.587326732673267;7.0;2.514851485148515;3.0;4.0;130.92145654980484
101.0;1162.0;600.0;1.0;1.0;11.504950495049505;11.504950495049505;23.00990099009901;7.28990099009901;8.0;2.722772277227723;3.0;4.0;130.92145654980484
101.0;1214.0;600.0;1.0;2.0;12.01980198019802;12.01980198019802;24.03960396039604;6.6368316831683165;8.0;2.5544554455445545;3.0;4.0;130.92145654980484
101.0;1156.0;600.0;1.0;3.0;11.445544554455445;11.445544554455445;22.89108910891089;6.641188118811881;7.0;2.376237623762376;2.0;4.0;130.92145654980484
101.0;1192.0;600.0;1.0;4.0;11.801980198019802;11.801980198019802;23.603960396039604;6.936633663366337;9.0;2.564356435643565;3.0;5.0;130.92145654980484
101.0;1302.0;600.0;1.0;5.0;12.891089108910892;12.891089108910892;25.782178217821784;6.329108910891089;7.0;2.3366336633663365;2.0;4.0;130.92145654980484
101.0;1238.0;600.0;1.0;6.0;12.257425742574258;12.257425742574258;24.514851485148515;6.4891089108910895;7.0;2.386138613861386;2.0;4.0;130.92145654980484
101.0;1216.0;600.0;1.0;7.0;12.03960396039604;12.03960396039604;24.07920792079208;6.685940594059406;8.0;2.504950495049505;3.0;4.0;130.92145654980484
101.0;1220.0;600.0;1.0;8.0;12.07920792079208;12.07920792079208;24.15841584158416;6.817029702970297;8.0;2.485148514851485;2.0;4.0;130.92145654980484
101.0;1276.0;600.0;1.0;9.0;12.633663366336634;12.633663366336634;25.26732673267327;6.4950495049504955;8.0;2.514851485148515;3.0;5.0;130.92145654980484
101.0;1248.0;600.0;1.0;10.0;12.356435643564357;12.356435643564357;24.712871287128714;6.587326732673267;7.0;2.514851485148515;3.0;4.0;130.92145654980484
101.0;4016.0;300.0;1.0;1.0;39.76237623762376;39.76237623762376;79.52475247524752;3.4495049504950495;4.0;1.3366336633663365;1.0;2.0;130.92145654980484
101.0;4074.0;300.0;1.0;2.0;40.336633663366335;40.336633663366335;80.67326732673267;3.428910891089109;4.0;1.3465346534653464;1.0;2.0;130.92145654980484
101.0;4048.0;300.0;1.0;3.0;40.07920792079208;40.07920792079208;80.15841584158416;3.435247524752475;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4260.0;300.0;1.0;4.0;42.17821782178218;42.17821782178218;84.35643564356435;3.3457425742574256;4.0;1.3366336633663367;1.0;2.0;130.92145654980484
101.0;4066.0;300.0;1.0;5.0;40.257425742574256;40.257425742574256;80.51485148514851;3.432871287128713;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;4092.0;300.0;1.0;6.0;40.51485148514851;40.51485148514851;81.02970297029702;3.414257425742574;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;3952.0;300.0;1.0;7.0;39.12871287128713;39.12871287128713;78.25742574257426;3.535049504950495;4.0;1.4455445544554455;1.0;2.0;130.92145654980484
101.0;4228.0;300.0;1.0;8.0;41.86138613861386;41.86138613861386;83.72277227722772;3.356039603960396;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4236.0;300.0;1.0;9.0;41.94059405940594;41.94059405940594;83.88118811881188;3.3607920792079207;4.0;1.3168316831683167;1.0;2.0;130.92145654980484
101.0;4174.0;300.0;1.0;10.0;41.32673267326733;41.32673267326733;82.65346534653466;3.3607920792079207;3.0;1.316831683168317;1.0;2.0;130.92145654980484
101.0;4016.0;300.0;1.0;1.0;39.76237623762376;39.76237623762376;79.52475247524752;3.4495049504950495;4.0;1.3366336633663365;1.0;2.0;130.92145654980484
101.0;4074.0;300.0;1.0;2.0;40.336633663366335;40.336633663366335;80.67326732673267;3.428910891089109;4.0;1.3465346534653464;1.0;2.0;130.92145654980484
101.0;4048.0;300.0;1.0;3.0;40.07920792079208;40.07920792079208;80.15841584158416;3.435247524752475;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4260.0;300.0;1.0;4.0;42.17821782178218;42.17821782178218;84.35643564356435;3.3457425742574256;4.0;1.3366336633663367;1.0;2.0;130.92145654980484
101.0;4066.0;300.0;1.0;5.0;40.257425742574256;40.257425742574256;80.51485148514851;3.432871287128713;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;4092.0;300.0;1.0;6.0;40.51485148514851;40.51485148514851;81.02970297029702;3.414257425742574;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;3952.0;300.0;1.0;7.0;39.12871287128713;39.12871287128713;78.25742574257426;3.535049504950495;4.0;1.4455445544554455;1.0;2.0;130.92145654980484
101.0;4228.0;300.0;1.0;8.0;41.86138613861386;41.86138613861386;83.72277227722772;3.356039603960396;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4236.0;300.0;1.0;9.0;41.94059405940594;41.94059405940594;83.88118811881188;3.3607920792079207;4.0;1.3168316831683167;1.0;2.0;130.92145654980484
101.0;4174.0;300.0;1.0;10.0;41.32673267326733;41.32673267326733;82.65346534653466;3.3607920792079207;3.0;1.316831683168317;1.0;2.0;130.92145654980484
101.0;4016.0;300.0;1.0;1.0;39.76237623762376;39.76237623762376;79.52475247524752;3.4495049504950495;4.0;1.3366336633663367;1.0;2.0;130.92145654980484
101.0;4074.0;300.0;1.0;2.0;40.336633663366335;40.336633663366335;80.67326732673267;3.428910891089109;4.0;1.3465346534653466;1.0;2.0;130.92145654980484
101.0;4048.0;300.0;1.0;3.0;40.07920792079208;40.07920792079208;80.15841584158416;3.435247524752475;3.0;1.425742574257426;1.0;2.0;130.92145654980484
101.0;4260.0;300.0;1.0;4.0;42.17821782178218;42.17821782178218;84.35643564356435;3.3457425742574256;4.0;1.3366336633663365;1.0;2.0;130.92145654980484
101.0;4066.0;300.0;1.0;5.0;40.257425742574256;40.257425742574256;80.51485148514851;3.432871287128713;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;4092.0;300.0;1.0;6.0;40.51485148514851;40.51485148514851;81.02970297029702;3.414257425742574;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;3952.0;300.0;1.0;7.0;39.12871287128713;39.12871287128713;78.25742574257426;3.535049504950495;4.0;1.4455445544554455;1.0;2.0;130.92145654980484
101.0;4228.0;300.0;1.0;8.0;41.86138613861386;41.86138613861386;83.72277227722772;3.356039603960396;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4236.0;300.0;1.0;9.0;41.94059405940594;41.94059405940594;83.88118811881188;3.3607920792079207;4.0;1.316831683168317;1.0;2.0;130.92145654980484
101.0;4174.0;300.0;1.0;10.0;41.32673267326733;41.32673267326733;82.65346534653466;3.3607920792079207;3.0;1.3168316831683167;1.0;2.0;130.92145654980484
101.0;4016.0;300.0;1.0;1.0;39.76237623762376;39.76237623762376;79.52475247524752;3.4495049504950495;4.0;1.3366336633663367;1.0;2.0;130.92145654980484
101.0;4074.0;300.0;1.0;2.0;40.336633663366335;40.336633663366335;80.67326732673267;3.428910891089109;4.0;1.3465346534653466;1.0;2.0;130.92145654980484
101.0;4048.0;300.0;1.0;3.0;40.07920792079208;40.07920792079208;80.15841584158416;3.435247524752475;3.0;1.425742574257426;1.0;2.0;130.92145654980484
101.0;4260.0;300.0;1.0;4.0;42.17821782178218;42.17821782178218;84.35643564356435;3.3457425742574256;4.0;1.3366336633663365;1.0;2.0;130.92145654980484
101.0;4066.0;300.0;1.0;5.0;40.257425742574256;40.257425742574256;80.51485148514851;3.432871287128713;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;4092.0;300.0;1.0;6.0;40.51485148514851;40.51485148514851;81.02970297029702;3.414257425742574;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;3952.0;300.0;1.0;7.0;39.12871287128713;39.12871287128713;78.25742574257426;3.535049504950495;4.0;1.4455445544554455;1.0;2.0;130.92145654980484
101.0;4228.0;300.0;1.0;8.0;41.86138613861386;41.86138613861386;83.72277227722772;3.356039603960396;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4236.0;300.0;1.0;9.0;41.94059405940594;41.94059405940594;83.88118811881188;3.3607920792079207;4.0;1.316831683168317;1.0;2.0;130.92145654980484
